Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
404.9724,365.847,677.0922083333334,1090.7884999999999,1078.7045,1292.1557916666668,948.7627916666667,658.3929166666667,561.226875,612.2739166666667,450.734625,258.453125
462.41841666666664,420.52387500000003,665.2408333333334,1029.4707916666666,1148.892,1004.7464583333334,851.8310833333334,578.8168333333334,637.289125,556.102875,540.2355833333334,272.7755416666667
267.38841666666667,503.33616666666666,712.33775,1161.6472916666667,1134.2338333333335,1547.2653333333335,893.3442916666667,531.6632916666666,664.0109583333334,451.88691666666665,462.3867083333333,321.16179166666666
271.7309583333333,338.06991666666664,750.2200416666666,1258.6333333333334,1223.060375,1458.061625,903.7584166666667,561.8239166666666,551.927125,653.2459583333333,408.15929166666666,288.5168333333333
315.23833333333334,212.47095833333333,942.3188749999999,1304.255375,1652.5815833333334,1457.5176250000002,989.3254166666667,362.132,339.5118333333333,564.2336666666666,562.9285833333333,379.9339166666667
353.0527083333333,340.10312500000003,732.6575416666666,1398.2766250000002,1671.1145416666666,1609.1795416666666,1174.242375,418.39620833333333,518.2101666666666,544.156375,417.9521666666667,374.51254166666666
348.26925,273.0577083333333,508.54341666666664,884.1410833333334,1676.3559583333333,1488.1137500000002,1087.8907083333334,879.0834166666667,707.2763333333334,648.1835833333333,300.7040416666667,363.2502083333334
235.5281666666667,355.1741666666667,679.467625,1017.0843333333333,1601.5209583333335,1496.0252916666668,1181.6605,949.8670000000001,738.5194583333333,513.836125,323.73583333333335,328.9115
216.31504166666664,390.0040833333333,591.4812083333333,982.3257083333333,1769.6152083333334,1349.2005,873.087,768.194125,535.2702083333334,366.1329166666667,353.58720833333336,314.50641666666667
235.23091666666667,383.23008333333337,822.7557499999999,1248.0590416666666,1546.3679583333333,1082.2079583333334,1211.5355416666666,554.3187083333333,632.5390416666667,493.62804166666666,368.68800000000005,293.5877083333333
273.24275,291.6594166666667,812.5650416666667,1308.6865416666667,1081.212,1529.66675,1258.6447916666666,521.0097916666667,716.3017916666666,555.8135416666667,299.50891666666666,296.181125
288.5612916666667,532.4919166666667,927.4289166666667,1006.7210833333334,956.6855416666667,1687.8139166666667,1125.75925,481.28412499999996,634.0519166666667,490.10512500000004,331.2463333333333,404.05412499999994
326.693125,442.7035,757.4783333333334,1317.461125,1444.480875,1662.2965416666666,1063.2662083333332,311.24487500000004,650.9799166666667,626.77525,338.41749999999996,386.08725
273.99558333333334,438.8809166666667,733.4093333333334,1210.0541666666666,1567.3522083333335,1400.1038333333333,1094.4082916666666,547.3724583333334,597.4619583333333,452.23104166666667,342.785375,507.2662083333333
216.0155,326.23025,915.7994166666667,1370.8565833333332,1304.8000833333333,1467.5803333333333,862.7405833333333,487.32595833333335,582.3027916666666,375.4780416666667,539.6847083333333,298.1505
230.508875,356.6309166666667,1218.5850416666667,1500.1940833333335,1524.3764583333334,1214.06125,1159.1225,907.7067916666666,717.0942916666667,415.36745833333333,378.81258333333335,236.58599999999998
236.52116666666666,557.27825,1094.2311666666667,1215.715875,1444.2404999999999,1442.323875,1271.1210416666665,759.5858333333334,635.178875,336.17995833333333,327.487625,290.05916666666667
265.4182916666667,561.0822916666667,687.4884583333333,1445.396375,1509.7538333333332,1119.8154166666666,1148.985,648.8256666666667,481.3130416666667,446.4887083333333,300.51525,296.459625
316.665125,475.5252083333333,858.0251666666667,1487.1890833333334,1425.3565833333332,1444.872875,1082.220125,673.4982083333333,408.5210833333333,515.1585416666667,301.5445833333333,204.571
236.8635416666667,420.61999999999995,933.1483750000001,1512.753125,1491.9506666666666,1437.2587083333335,903.4245416666666,625.8324583333333,643.5561666666666,388.7728333333334,321.31225,204.499375
251.093,400.64929166666667,737.123,1102.3080833333333,1456.0436666666667,1428.3092916666667,763.74375,781.00225,1000.3211249999999,513.815125,373.37224999999995,233.73154166666666
242.63241666666667,503.5082916666667,1129.54975,1135.4075,1401.355375,1457.5334583333333,798.1596249999999,718.979375,916.7619166666667,540.5677916666667,292.3235416666667,190.67670833333332
196.72416666666666,667.1442916666666,1259.4725,1017.001625,1496.39575,1356.6162083333334,1108.1812083333332,589.7948333333334,697.4570833333333,447.87975000000006,297.8352916666667,197.93179166666667
516.8140833333333,518.789625,999.2697916666667,1494.7477083333333,1192.1564166666667,1409.7451250000001,981.8023750000001,405.89687499999997,668.6526250000001,357.2574583333333,266.89729166666666,263.00141666666667
338.02945833333337,537.3432916666667,925.625125,1397.1030833333334,1354.0285833333335,1313.3852916666667,806.5412500000001,524.4083333333333,575.7090833333333,492.70170833333333,226.29399999999998,246.10762499999998
382.18416666666667,466.721,971.1095833333334,1539.7710416666666,1621.3055833333335,1363.1513750000001,780.8277916666666,487.14725,520.8048333333334,488.6235,218.050125,253.703
399.1095,425.80524999999994,499.7585833333333,1122.27525,1638.1562916666664,1328.221125,608.4619166666666,667.4231666666667,647.4634583333333,485.1832916666667,305.3328333333333,318.73241666666667
281.48116666666664,509.10966666666667,1013.8190416666666,1056.9627083333332,1473.6563333333334,1449.8180833333333,747.014875,986.1680416666667,617.3784583333334,400.355125,255.33766666666668,275.6014166666667
283.40479166666665,,1006.3487916666667,1346.6352916666667,1498.135625,899.1905,830.7820416666667,715.868125,579.6369583333334,397.0349166666667,313.87891666666667,205.0385
356.4216666666666,,1128.7207083333333,1063.7612083333333,1358.6648333333333,1081.7809583333333,571.4999583333333,525.5314999999999,501.06712500000003,434.81054166666667,362.22074999999995,240.46624999999997
403.1009583333334,,1176.2127083333332,,1269.4514583333332,,713.1191666666667,442.6625833333333,,410.16474999999997,,211.82183333333333
